Kelurahan,Populations_2023
Arjowinangun,11484
Tlogowaru,7062
Wonokoyo,7833
Bumiayu,19779
Buring,15876
Mergosono,18330
Kotalama,29403
Kedungkandang,11781
Sawojajar,26877
Madyopuro,22041
Lesanpuro,20586
Cemorokandang,14316
Kecamatan Kedungkandang,205368
Kebonsari,10263
Gadang,20229
Ciptomulyo,13521
Sukun,19320
Bandungrejosari,31098
Bakalan Krajan,10245
Mulyorejo,16704
Bandulan,17280
Tanjungrejo,28935
Pisang Candi,14691
Karang Besuki,19668
Kecamatan Sukun,201954
Kasin,12918
Sukoharjo,8895
Kidul Dalem,6240
Kauman,9063
Bareng,15048
Gadingkasri,8319
Oro-Oro Dowo,10710
Klojen,5928
Rampal Celaket,6069
Samaan,10743
Penanggungan,9717
Kecamatan Klojen,103650
Jodipan,12033
Polehan,18711
Kesatrian,11796
Bunulrejo,26496
Purwantoro,28080
Pandanwangi,32613
Blimbing,8733
Purwodadi,19572
Polowijen,12165
Arjosari,10200
Balearjosari,9027
Kecamatan Blimbing,189426
Merjosari,16509
Dinoyo,11217
Sumbersari,8103
Ketawanggede,5046
Jatimulyo,19014
Lowokwaru,19407
Tulusrejo,16614
Mojolangu,22134
Tunjungsekar,16941
Tasikmadu,7806
Tunggulwulung,9108
Tlogomas,14229
Kecamatan Lowokwaru,166128
Kota Malang,866526
